codigo_receita;orgao;uniorcam;receita_realizada_jan;receita_realizada_fev;receita_realizada_mar;receita_realizada_abr;receita_realizada_mai;receita_realizada_jun;receita_realizada_jul;receita_realizada_ago;receita_realizada_set;receita_realizada_out;receita_realizada_nov;receita_realizada_dez;meta_1bim;meta_2bim;meta_3bim;meta_4bim;meta_5bim;meta_6bim;caracteristica_peculiar_receita;recurso_vinculado;complemento_recurso_vinculado;fonte_recurso_stn;acompanhamento_execucao_orcamentaria;data_inicial;data_final;data_geracao;cnpj;entidade;arquivo
4.1.1.2.0.00.0.0.00.00.00.00.000;02;0201;2.773,52;3.101,06;3.212,00;4.328,00;3.392,00;3.477,45;5.782,00;6.394,00;9.029,54;35.893,56;6.148,61;3.965,76;10.698,14;10.698,14;10.698,14;10.698,14;10.698,14;10.698,56;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.00.0.0.00.00.00.00.000;02;0201;2.773,52;3.101,06;3.212,00;4.328,00;3.392,00;3.477,45;5.782,00;6.394,00;9.029,54;35.893,56;6.148,61;3.965,76;10.698,14;10.698,14;10.698,14;10.698,14;10.698,14;10.698,56;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.0.0.00.00.00.00.000;02;0201;2.773,52;3.101,06;3.212,00;4.328,00;3.392,00;3.477,45;5.782,00;6.394,00;9.029,54;35.893,56;6.148,61;3.965,76;10.698,14;10.698,14;10.698,14;10.698,14;10.698,14;10.698,56;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.1.0.00.00.00.00.000;02;0201;121,00;387,00;129,00;258,00;0,00;129,00;258,00;387,00;0,00;258,00;387,00;387,00;548,94;548,94;548,94;548,94;548,94;549,00;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.1.1.00.00.00.00.000;02;0201;121,00;387,00;129,00;258,00;0,00;129,00;258,00;387,00;0,00;258,00;387,00;387,00;548,94;548,94;548,94;548,94;548,94;549,00;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.0.00.00.00.00.000;02;0201;2.652,52;2.714,06;3.083,00;4.070,00;3.392,00;3.348,45;5.524,00;6.007,00;9.029,54;35.635,56;5.761,61;3.578,76;10.149,20;10.149,20;10.149,20;10.149,20;10.149,20;10.149,56;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.00.00.00.00.000;02;0201;2.076,00;2.410,00;3.083,00;4.070,00;3.392,00;3.313,00;5.524,00;6.007,00;8.996,64;35.581,00;5.394,00;3.275,00;10.149,20;10.149,20;10.149,20;10.149,20;10.149,20;10.149,56;000;0000;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.01.00.00.00.000;02;0201;168,00;57,00;430,00;854,00;0,00;733,00;1.087,00;560,00;1.855,00;29.752,00;1.240,00;1.210,00;4.884,92;4.884,92;4.884,92;4.884,92;4.884,92;4.885,01;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.03.00.00.00.000;02;0201;341,00;237,00;651,00;1.071,00;596,00;504,00;1.557,00;618,00;1.623,06;1.623,00;1.384,00;560,00;1.042,12;1.042,12;1.042,12;1.042,12;1.042,12;1.042,21;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
4.1.1.2.8.01.9.1.04.00.00.00.000;02;0201;1.403,00;978,00;1.121,00;1.283,00;1.731,00;1.102,00;978,00;2.613,00;2.084,58;1.205,00;1.155,00;974,00;2.189,60;2.189,60;2.189,60;2.189,60;2.189,60;2.189,67;000;0001;0000;;;2020-01-01;2020-12-31;2021-01-13;87612826000190;"PREFEITURA MUNICIPAL INDEPENDENCIA";"input/pm/MES12\RECEITA.TXT"
